"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y"
"MA-C12-05","安區129、130林班","2","241358","2687640"
"MA-C12-05","安區129、130林班","6","242233","2687875"
"MA-C12-05","安區129、130林班","5","242000","2687950"
"MA-C12-05","安區129、130林班","4","241767","2687926"
"MA-C12-05","安區129、130林班","3","241550","2687800"
"MA-C12-06","安區130、131林班","1","241045","2685746"
"MA-C12-06","安區130、131林班","2","241266","2685624"
"MA-C12-06","安區130、131林班","3","241462","2685454"
"MA-C12-06","安區130、131林班","4","241663","2685283"
"MA-C12-06","安區130、131林班","5","241924","2685325"
"MA-C12-06","安區130、131林班","6","242007","2685082"
"MA-C12-07","安區118、119林班","5","245055","2686459"
"MA-C12-07","安區118、119林班","4","245098","2686834"
"MA-C12-07","安區118、119林班","1","245293","2687347"
"MA-C12-07","安區118、119林班","2","245015","2687257"
"MA-C12-07","安區118、119林班","6","244536","2687127"
"MA-C12-07","安區118、119林班","3","244770","2687163"
"MA-C12-09","安區115林班","1","243475","2691978"
"MA-C12-09","安區115林班","2","243673","2691920"
"MA-C12-09","安區115林班","3","243875","2691886"
"MA-C12-09","安區115林班","4","244014","2691735"
"MA-C12-09","安區115林班","5","244128","2691565"
"MA-C12-09","安區115林班","6","244241","2691396"
"MA-C12-12","水底寮","1","230672","2670818"
"MA-C12-12","水底寮","2","230884","2670851"
"MA-C12-12","水底寮","3","231089","2670866"
"MA-C12-12","水底寮","4","231289","2670888"
"MA-C12-12","水底寮","5","231400","2671061"
"MA-C13-04","勢麗仙區111","1","248227","2674700"
"MA-C13-04","勢麗仙區111","2","248457","2674816"
"MA-C13-04","勢麗仙區111","3","248522","2675049"
"MA-C13-04","勢麗仙區111","4","248609","2675270"
"MA-C13-04","勢麗仙區111","5","248826","2675337"
"MA-C13-04","勢麗仙區111","6","249048","2675352"
"MA-C13-05","勢麗仙區43","1","244100","2673848"
"MA-C13-05","勢麗仙區43","2","243777","2674187"
"MA-C13-05","勢麗仙區43","3","244286","2674010"
"MA-C13-05","勢麗仙區43","4","244028","2674174"
"MA-C13-05","勢麗仙區43","5","244235","2674226"
"MA-C13-05","勢麗仙區43","6","244390","2674419"
"MA-C13-06","勢麗仙區116","1","245442","2673223"
"MA-C13-06","勢麗仙區116","2","245681","2673203"
"MA-C13-06","勢麗仙區116","3","245721","2672959"
"MA-C13-06","勢麗仙區116","4","245764","2672720"
"MA-C13-06","勢麗仙區116","5","245785","2672508"
"MA-C13-06","勢麗仙區116","6","245963","2672351"
"MA-C13-07","勢麗仙區24","1","241654","2675867"
"MA-C13-07","勢麗仙區24","2","241667","2676103"
"MA-C13-07","勢麗仙區24","3","241823","2676268"
"MA-C13-07","勢麗仙區24","4","241927","2676518"
"MA-C13-07","勢麗仙區24","5","241562","2676425"
"MA-C13-07","勢麗仙區24","6","241347","2676351"
"MA-C13-08","勢麗仙區41","1","244001","2675871"
"MA-C13-08","勢麗仙區41","2","244209","2675870"
"MA-C13-08","勢麗仙區41","3","244375","2676029"
"MA-C13-08","勢麗仙區41","4","244421","2676272"
"MA-C13-08","勢麗仙區41","5","244675","2676109"
"MA-C13-08","勢麗仙區41","6","245024","2676403"
"MA-C13-09","勢麗仙區125","1","241863","2675479"
"MA-C13-09","勢麗仙區125","2","241657","2675437"
"MA-C13-09","勢麗仙區125","3","241417","2675342"
"MA-C13-09","勢麗仙區125","4","241182","2674803"
"MA-C13-09","勢麗仙區125","5","241065","2674323"
"MA-C13-09","勢麗仙區125","6","240959","2673893"
"MA-C13-12","勢麗仙區31","1","242963","2675282"
"MA-C13-12","勢麗仙區31","2","243200","2675425"
"MA-C13-12","勢麗仙區31","3","243401","2675491"
"MA-C13-12","勢麗仙區31","4","243708","2675843"
"MA-C13-12","勢麗仙區31","5","243896","2676070"
"MA-C13-12","勢麗仙區31","6","244099","2676385"
"MA-D14-01","孫海橋","1","250293","2631198"
"MA-D14-01","孫海橋","2","250493","2631204"
"MA-D14-01","孫海橋","3","250673","2631272"
"MA-D14-01","孫海橋","4","250860","2631367"
"MA-D14-01","孫海橋","5","251050","2631404"
"MA-D14-01","孫海橋","6","251255","2631353"
"MA-D14-01","孫海橋","8","251640","2631350"
"MA-D14-01","孫海橋","9","251784","2631222"
"MA-D14-01","孫海橋","10","251987","2631192"
"MA-D14-07","巒大25林班","5","241208","2635434"
"MA-D14-07","巒大25林班","4","241333","2635588"
"MA-D14-07","巒大25林班","3","241351","2635785"
"MA-D14-07","巒大25林班","2","241438","2635993"
"MA-D14-07","巒大25林班","6","241300","2635253"
"MA-D14-07","巒大25林班","7","241394","2635077"
"MA-D14-07","巒大25林班","8","241371","2634879"
"MA-D14-07","巒大25林班","9","241258","2634710"
"MA-D14-07","巒大25林班","10","241348","2634528"
"MA-D14-09","巒大61林班","1","239699","2629121"
"MA-D14-09","巒大61林班","2","239706","2628921"
"MA-D14-09","巒大61林班","5","239606","2628337"
"MA-D14-09","巒大61林班","6","239598","2628147"
"MA-D14-09","巒大61林班","7","239700","2627966"
"MA-D14-09","巒大61林班","9","239785","2627598"
"MA-D14-09","巒大61林班","10","239920","2627450"
"MA-D15-02","巒大8林班","2","235808","2643341"
"MA-D15-02","巒大8林班","3","235516","2643343"
"MA-D15-02","巒大8林班","4","235398","2643540"
"MA-D15-02","巒大8林班","5","235173","2643390"
"MA-D15-02","巒大8林班","6","234996","2643281"
"MA-D15-05","白不仔溪橋","1","234274","2621294"
"MA-D15-05","白不仔溪橋","2","234301","2621614"
